year,round,event_name,location,country,n_starters,n_classified,n_dnf,n_laps,total_abs_pos_change,mean_abs_pos_change,max_pos_gained,pos_change_std,n_pit_stops,n_compounds_used,avg_air_temp,avg_track_temp,avg_humidity,avg_wind_speed,rain_pct,any_rain,circuit_length_km,circuit_turns,circuit_type,pit_stops_per_driver,high_action
2018,1,Australian Grand Prix,Melbourne,Australia,20,20,5,58,62.0,3.1,7.0,4.53,22,4,24.1,36.3,30.9,3.7,0.045,True,5.278,14,street,1.1,0
2018,2,Bahrain Grand Prix,Sakhir,Bahrain,20,20,3,57,98.0,4.9,8.0,6.74,34,4,28.0,32.2,47.4,1.0,0.0,False,5.412,15,permanent,1.7,1
2018,3,Chinese Grand Prix,Shanghai,China,20,20,1,56,50.0,2.5,6.0,3.55,31,4,19.4,37.0,24.1,1.8,0.018,True,5.451,16,permanent,1.55,0
2018,4,Azerbaijan Grand Prix,Baku,Azerbaijan,20,20,7,51,126.0,6.3,9.0,7.36,36,4,16.7,25.3,45.7,2.2,0.0,False,6.003,20,street,1.8,1
2018,5,Spanish Grand Prix,Barcelona,Spain,20,20,6,66,80.0,4.0,8.0,5.33,23,4,16.1,32.3,52.3,2.0,0.79,True,4.675,16,permanent,1.15,0
2018,6,Monaco Grand Prix,Monte Carlo,Monaco,20,20,3,78,62.0,3.1,11.0,4.79,27,4,26.6,34.6,50.9,1.4,0.124,True,3.337,19,street,1.35,0
2018,7,Canadian Grand Prix,Montréal,Canada,20,20,3,70,48.0,2.4,8.0,3.39,21,4,20.5,36.9,27.8,2.5,0.0,False,4.361,14,semi-permanent,1.05,0
2018,8,French Grand Prix,Le Castellet,France,20,20,5,53,60.0,3.0,6.0,3.77,22,4,24.5,42.0,49.0,1.8,0.01,True,5.842,15,permanent,1.1,0
2018,9,Austrian Grand Prix,Spielberg,Austria,20,20,6,71,112.0,5.6,10.0,7.65,24,4,23.2,45.9,37.1,2.5,0.0,False,4.318,10,permanent,1.2,1
2018,10,British Grand Prix,Silverstone,Great Britain,20,19,6,52,70.0,3.68,7.0,4.98,29,4,27.4,52.2,38.7,1.5,0.0,False,5.891,18,permanent,1.45,0
2018,11,German Grand Prix,Hockenheim,Germany,20,20,5,67,90.0,4.5,13.0,6.44,42,6,26.4,40.7,54.8,2.0,0.26,True,4.574,17,permanent,2.1,1
2018,12,Hungarian Grand Prix,Budapest,Hungary,20,20,3,70,60.0,3.0,8.0,4.26,20,4,33.8,51.1,33.0,1.1,0.0,False,4.381,14,permanent,1.0,0
2018,13,Belgian Grand Prix,Spa-Francorchamps,Belgium,20,20,5,44,78.0,3.9,15.0,5.45,37,4,17.3,27.9,37.7,2.0,0.0,False,7.004,19,permanent,1.85,0
2018,14,Italian Grand Prix,Monza,Italy,20,20,4,53,72.0,3.6,7.0,4.88,22,4,22.2,30.8,63.8,2.1,0.232,True,5.793,11,permanent,1.1,0
2018,15,Singapore Grand Prix,Singapore,Singapore,20,20,1,61,58.0,2.9,6.0,4.52,25,4,29.9,33.1,66.0,2.0,0.0,False,4.94,23,street,1.25,0
2018,16,Russian Grand Prix,Sochi,Russia,20,20,2,53,58.0,2.9,14.0,4.86,22,4,24.8,29.9,61.3,2.0,0.018,True,5.848,18,street,1.1,0
2018,17,Japanese Grand Prix,Suzuka,Japan,20,20,3,53,74.0,3.7,11.0,4.92,25,4,28.3,37.2,50.5,1.8,0.0,False,5.807,18,permanent,1.25,0
2018,18,United States Grand Prix,Austin,United States,20,20,6,56,114.0,5.7,16.0,7.43,27,4,21.9,30.5,37.6,2.1,0.0,False,5.513,20,permanent,1.35,1
2018,19,Mexican Grand Prix,Mexico City,Mexico,20,20,4,71,82.0,4.1,10.0,6.08,30,3,20.1,34.5,50.7,1.6,0.0,False,4.304,17,permanent,1.5,0
2018,20,Brazilian Grand Prix,São Paulo,Brazil,20,20,2,71,64.0,3.2,7.0,4.68,27,3,23.8,40.1,75.4,2.2,0.0,False,4.309,15,permanent,1.35,0
